Date;Produk;Sales
11/07/2023;Latte;3
11/07/2023;Es Kopi Klepon;3
11/07/2023;Mie Tonjok Goreng;2
11/07/2023;Kopi Anggurin;2
11/07/2023;Es Matcha;2
11/07/2023;Americano;2
11/07/2023;Nasi Temen Ayam;2
11/07/2023;Es Chocolate;2
11/07/2023;Cireng;2
11/07/2023;Comot Asik;1
11/07/2023;Air Mineral 330ml;1
11/07/2023;Kopi Sejuta Umat;1
11/07/2023;Es Teh Leci;1
11/07/2023;Es Klepon;1
11/07/2023;Cappuccino;1
11/07/2023;Kopi Rakyat;1
11/07/2023;Nasi Temen Sapi;1
11/07/2023;Orange Juice;1
12/07/2023;Kopi Rakyat;3
12/07/2023;Kopi Hitam;2
12/07/2023;Pisang Aroma;2
12/07/2023;Kopi Sejuta Umat;2
12/07/2023;Latte;1
12/07/2023;Air Mineral 330ml;1
12/07/2023;Kopi Pandan;1
13/07/2023;Kopi Sejuta Umat;5
13/07/2023;Es Klepon;3
13/07/2023;Nasi Temen Sapi;2
13/07/2023;Americano;2
13/07/2023;Mie Tonjok Kuah;1
13/07/2023;Es Teh Biasa Aja;1
13/07/2023;Latte Hazelnut;1
13/07/2023;Samosa;1
13/07/2023;Hazelnut Milkshake;1
13/07/2023;Es Matcha;1
13/07/2023;Be Regal;1
13/07/2023;Karamel Milkshake;1
14/07/2023;Kopi Sejuta Umat;4
14/07/2023;Es Kopi Klepon;2
14/07/2023;Es Taro;2
14/07/2023;Es Chocolate;1
14/07/2023;Latte Karamel;1
14/07/2023;Kopi Pandan;1
14/07/2023;Es Teh Persik;1
14/07/2023;Es Klepon;1
14/07/2023;Nasi Temen Ayam;1
14/07/2023;Cireng;1
14/07/2023;Cappuccino;1
18/07/2023;Kopi Sejuta Umat;2
18/07/2023;Es Thaitea;1
18/07/2023;Latte Karamel;1
18/07/2023;Nasi Temen Ayam;1
18/07/2023;Sirloin Steak Barbeque Sauce;1
18/07/2023;Es Teh Leci;1
19/07/2023;Kopi Sejuta Umat;6
19/07/2023;Air Mineral 330ml;3
19/07/2023;Es Klepon;2
19/07/2023;Karamel Milkshake;2
19/07/2023;Es Matcha;2
19/07/2023;Be Regal;2
19/07/2023;Latte Kurma;1
19/07/2023;Mie Tonjok Kuah;1
19/07/2023;Latte Hazelnut;1
19/07/2023;Nasi Temen Ayam;1
19/07/2023;Kopi Moka;1
19/07/2023;Espresso;1
19/07/2023;Cireng;1
19/07/2023;Es Teh Leci;1
20/07/2023;Kopi Sejuta Umat;2
20/07/2023;Air Mineral 330ml;2
20/07/2023;Es Taro;1
20/07/2023;Vietnam Drip;1
20/07/2023;Nasi Temen Ayam;1
20/07/2023;Nasi Temen Sapi;1
20/07/2023;Es Kopi Klepon;1
21/07/2023;Kopi Sejuta Umat;3
21/07/2023;Pisang Aroma;1
21/07/2023;Es Teh Biasa Aja;1
21/07/2023;Comot Asik;1
21/07/2023;Cireng;1
21/07/2023;Es Matcha;1
21/07/2023;Be Regal;1
